Tarjeta,Nombre,MV,AV,correo,Contraseña,Usuario,Respuesta
5513530041972006,OXXO1,04,22,5513530041972006@hotpay.mx,12345678,972006,Registro exitoso de inCard
5513530043307003,OXXO2,04,22,5513530043307003@hotpay.mx,12345678,307003,Registro exitoso de inCard
5513530045220006,OXXO3,04,22,5513530045220006@hotpay.mx,12345678,220006,Registro exitoso de inCard
5513530042636006,OXXO4,04,22,5513530042636006@hotpay.mx,12345678,636006,Registro exitoso de inCard
5513530042571005,OXXO5,04,22,5513530042571005@hotpay.mx,12345678,571005,Registro exitoso de inCard
5513530042286000,OXXO6,04,22,5513530042286000@hotpay.mx,12345678,286000,Registro exitoso de inCard
5513530045282006,OXXO7,04,22,5513530045282006@hotpay.mx,12345678,282006,Registro exitoso de inCard
5513530042165006,OXXO8,04,22,5513530042165006@hotpay.mx,12345678,165006,Registro exitoso de inCard
5513530042120001,OXXO9,04,22,5513530042120001@hotpay.mx,12345678,120001,Registro exitoso de inCard
5513530038374000,OXXO10,04,22,5513530038374000@hotpay.mx,12345678,374000,Registro exitoso de inCard
